payment_term_days,penalty_percentage,ambiguity_flag,clause_type,risk_label
0,0.0,1,other,0.18021935734460443
0,0.0,0,other,0.07674347291529088
0,5.59,0,penalty,0.0022221826611982997
0,0.0,0,other,0.0
0,0.0,0,data_protection,0.0
0,0.0,0,liability,0.23756980183456722
0,0.0,0,confidentiality,0.07791926345150046
0,0.0,1,confidentiality,0.2994472137679874
0,0.0,0,confidentiality,0.03229997972782976
0,0.0,0,liability,0.21713682811899707
0,0.0,1,other,0.326348604023021
0,5.48,0,penalty,0.04191021055976431
0,0.0,1,liability,0.41607824767773616
0,0.0,0,other,0.11647686455045239
0,0.0,1,other,0.38347954192304284
38,0.0,1,payment,0.2918881045841313
0,0.0,0,liability,0.0
0,0.0,1,penalty,0.27191937084732465
32,0.0,1,payment,0.24655835463264947
0,0.0,1,termination,0.5823733076975142
0,10.79,1,penalty,0.847023979623296
0,0.0,0,data_protection,0.07507858855894214
8,0.0,0,payment,0.1273733620139556
21,0.0,0,payment,0.0
0,0.0,0,data_protection,0.0
42,0.0,0,payment,0.0
0,0.0,0,confidentiality,0.006023020994102644
0,0.0,0,data_protection,0.0
0,0.0,1,data_protection,0.3767296838706404
0,0.0,1,termination,0.4331753300867588
0,0.0,0,liability,0.10094636748693117
0,0.0,0,liability,0.28575032515881127
0,5.34,0,penalty,0.05363360323820653
0,0.0,1,other,0.26779384837943243
0,0.0,0,data_protection,0.0013033899766550932
41,0.0,1,payment,0.27941332829044946
0,0.0,0,liability,0.2816152722881371
0,0.0,0,confidentiality,0.034644820949697584
0,0.0,0,termination,0.10146182028743125
0,10.25,0,penalty,0.7325105661514201
29,0.0,0,payment,0.1343168212296779
0,0.0,0,termination,0.38967929826539477
0,0.0,0,termination,0.19885565525302715
0,0.0,0,termination,0.11526424718873564
0,0.0,1,other,0.19291075019388876
0,0.0,1,confidentiality,0.2756865539592984
0,0.0,1,confidentiality,0.25475377676553307
0,0.0,0,liability,0.11864789030399768
0,5.46,0,penalty,0.0
0,0.0,1,other,0.30513608594796354
42,0.0,0,payment,0.0
0,7.58,1,penalty,0.6852731490654721
25,0.0,0,payment,0.0
0,0.0,0,other,0.0
0,0.0,0,liability,0.0008462213468586333
0,0.0,0,liability,0.1848764034507771
0,0.0,1,data_protection,0.3015143278259864
0,0.0,0,data_protection,0.0
0,13.31,0,penalty,0.5525054688839044
0,0.0,0,data_protection,0.05778971350988347
0,0.0,0,other,0.0
0,0.0,0,data_protection,0.07746340534293368
0,8.0,0,penalty,0.21131121569582026
0,12.72,0,penalty,0.7323263807151237
0,0.0,0,other,0.05677683677576248
0,5.35,1,penalty,0.261468640313824
0,0.0,0,confidentiality,0.0686848512765971
0,0.0,0,termination,0.3060638578821411
0,0.0,0,liability,0.14106352430557884
0,0.0,1,confidentiality,0.43264716683190474
0,0.0,0,confidentiality,0.16783055098228955
0,0.0,0,termination,0.21173273833087822
0,0.0,0,other,0.07644782353257112
0,0.0,1,other,0.3261623055972466
0,0.0,0,data_protection,0.039204188973259585
0,0.0,0,other,0.059515702543691366
0,0.0,0,liability,0.16574111317693543
0,0.0,0,liability,0.19911829537541925
0,0.0,1,liability,0.5090072586981661
0,0.0,0,data_protection,0.0
0,5.4,0,penalty,0.0289882811537126
0,0.0,0,liability,0.3360111366248172
0,0.0,0,liability,0.12756662046529005
0,0.0,0,liability,0.17113413610798622
0,0.0,1,confidentiality,0.18957782114528668
52,0.0,1,payment,0.215586308648226
0,0.0,1,data_protection,0.11032527798170774
0,0.0,0,data_protection,0.0
0,0.0,0,other,0.12004115484133981
0,0.0,0,other,0.0
0,0.0,0,confidentiality,0.0
0,0.0,1,confidentiality,0.3362476458805302
0,0.0,0,confidentiality,0.0
0,0.0,1,liability,0.6831458765854354
0,5.95,0,penalty,0.0
0,0.0,0,other,0.0
